Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Engagement,Performance,Cluster
35,0,Travel_Rarely,809,Research & Development,16,Bachelor,Medical,3,Male,84,2,Entry Level,Laboratory Technician,1,Married,2426,16479,0,No,13,0,High,1,6,5,1,5,4,0,3,7,18,2
29,0,Travel_Rarely,153,Research & Development,15,College,Life Sciences,2,Female,49,1,Junior Level,Laboratory Technician,2,Single,4193,12682,0,Yes,12,0,Very High,0,10,3,1,9,5,0,8,6,15,1
31,0,Travel_Rarely,670,Research & Development,26,Below College,Life Sciences,3,Male,31,0,Entry Level,Research Scientist,2,Divorced,2911,15170,1,No,17,0,Very High,1,5,1,2,5,2,4,3,7,18,2
34,0,Travel_Rarely,1346,Research & Development,19,College,Medical,0,Male,93,0,Entry Level,Laboratory Technician,0,Divorced,2661,8758,0,No,11,0,High,1,3,2,1,2,2,1,2,1,13,1
28,1,Travel_Rarely,103,Research & Development,24,Bachelor,Life Sciences,1,Male,50,1,Entry Level,Laboratory Technician,2,Single,2028,12947,5,Yes,14,0,Medium,0,6,4,1,4,2,0,3,5,18,1
29,0,Travel_Rarely,1389,Research & Development,21,Master,Life Sciences,0,Female,51,2,Mid Level,Manufacturing Director,3,Divorced,9980,10195,1,No,11,0,High,1,10,1,1,10,9,8,8,6,12,1
32,0,Travel_Rarely,334,Research & Development,5,College,Life Sciences,3,Male,80,2,Entry Level,Research Scientist,1,Divorced,3298,15053,0,Yes,12,0,Very High,2,7,5,2,6,2,0,5,8,17,2
22,0,Non-Travel,1123,Research & Development,16,College,Medical,2,Male,96,2,Entry Level,Laboratory Technician,0,Divorced,2935,7324,1,Yes,13,0,Medium,2,1,2,2,1,0,0,0,6,15,1
53,0,Travel_Rarely,1219,Sales,2,Master,Life Sciences,3,Female,78,1,Senior Level,Manager,0,Married,15427,22021,2,No,16,0,High,0,31,3,1,25,8,3,7,5,19,0
38,0,Travel_Rarely,371,Research & Development,2,Bachelor,Life Sciences,2,Male,45,0,Entry Level,Research Scientist,0,Single,3944,4306,5,Yes,11,0,High,0,6,3,1,3,2,1,2,3,14,1
24,0,Non-Travel,673,Research & Development,11,College,Other,3,Female,96,2,Junior Level,Manufacturing Director,2,Divorced,4011,8232,0,No,18,0,Very High,1,5,5,2,4,2,1,3,9,23,1
36,1,Travel_Rarely,1218,Sales,9,Master,Life Sciences,1,Male,82,1,Entry Level,Sales Representative,3,Single,3407,6986,7,No,23,1,Medium,0,10,4,1,5,3,0,3,6,28,1
34,0,Travel_Rarely,419,Research & Development,7,Master,Life Sciences,3,Female,53,0,Mid Level,Research Director,1,Single,11994,21293,0,No,11,0,High,0,13,4,1,12,6,2,11,5,15,2
21,0,Travel_Rarely,391,Research & Development,15,College,Life Sciences,1,Male,96,0,Entry Level,Research Scientist,0,Single,1232,19281,1,No,14,0,Very High,0,0,6,1,0,0,0,0,2,20,2
34,1,Travel_Rarely,699,Research & Development,6,Below College,Medical,0,Male,83,0,Entry Level,Research Scientist,3,Single,2960,17102,2,No,11,0,High,0,8,2,1,4,2,1,3,4,13,2
53,0,Travel_Rarely,1282,Research & Development,5,Bachelor,Other,1,Female,58,0,Executive Level,Manager,2,Divorced,19094,10735,4,No,11,0,Very High,1,26,3,2,14,13,4,8,5,14,0
32,1,Travel_Frequently,1125,Research & Development,16,Below College,Life Sciences,0,Female,72,3,Entry Level,Research Scientist,3,Single,3919,4681,1,Yes,22,1,Medium,0,10,5,1,10,2,6,7,7,28,1
42,0,Travel_Rarely,691,Sales,8,Master,Marketing,1,Male,48,0,Junior Level,Sales Executive,1,Married,6825,21173,0,No,11,0,Very High,1,10,2,1,9,7,4,2,3,13,2
44,0,Travel_Rarely,477,Research & Development,7,Master,Medical,3,Female,42,1,Mid Level,Healthcare Representative,0,Married,10248,2094,3,No,14,0,Very High,1,24,4,1,22,6,5,17,5,18,1
46,0,Travel_Rarely,705,Sales,2,Master,Marketing,0,Female,83,0,Executive Level,Manager,3,Single,18947,22822,3,No,12,0,Very High,0,22,2,2,2,2,2,1,5,14,0
33,0,Travel_Rarely,924,Research & Development,2,Bachelor,Medical,1,Male,78,0,Entry Level,Laboratory Technician,0,Single,2496,6670,4,No,11,0,Very High,0,7,3,1,1,1,0,0,2,14,1
44,0,Travel_Rarely,1459,Research & Development,10,Master,Other,2,Male,41,0,Junior Level,Healthcare Representative,0,Married,6465,19121,2,Yes,13,0,Very High,0,9,5,3,4,2,1,3,5,18,2
30,0,Travel_Rarely,125,Research & Development,9,College,Medical,2,Male,83,1,Entry Level,Laboratory Technician,2,Single,2206,16117,1,No,13,0,Low,0,10,5,1,10,0,1,8,6,18,2
39,1,Travel_Rarely,895,Sales,5,Bachelor,Technical Degree,2,Male,56,0,Junior Level,Sales Representative,0,Married,2086,3335,3,No,14,0,High,1,19,6,3,1,0,0,0,5,20,1
24,1,Travel_Rarely,813,Research & Development,1,Bachelor,Medical,0,Male,61,0,Entry Level,Research Scientist,0,Married,2293,3020,2,Yes,16,0,Low,1,6,2,2,2,0,2,0,2,18,1
43,0,Travel_Rarely,1273,Research & Development,2,College,Medical,2,Female,72,2,Entry Level,Research Scientist,2,Divorced,2645,21923,1,No,12,0,Very High,2,6,3,2,5,3,1,4,8,15,2
50,1,Travel_Rarely,869,Sales,3,College,Marketing,3,Male,86,1,Entry Level,Sales Representative,2,Married,2683,3810,1,Yes,14,0,High,0,3,2,1,3,2,0,2,7,16,1
35,0,Travel_Rarely,890,Sales,2,Bachelor,Marketing,2,Female,97,0,Entry Level,Sales Representative,0,Married,2014,9687,1,No,13,0,Low,0,2,3,1,2,2,2,2,3,16,1
36,0,Travel_Rarely,852,Research & Development,5,Master,Life Sciences,0,Female,82,1,Entry Level,Research Scientist,3,Married,3419,13072,9,Yes,14,0,Very High,1,6,3,3,1,1,0,0,7,17,1
33,0,Travel_Frequently,1141,Sales,1,Bachelor,Life Sciences,1,Female,42,2,Junior Level,Sales Executive,3,Married,5376,3193,2,No,19,0,Low,2,10,3,1,5,3,1,3,7,22,1
35,0,Travel_Rarely,464,Research & Development,4,College,Other,1,Male,75,0,Entry Level,Laboratory Technician,0,Divorced,1951,10910,1,No,12,0,High,1,1,3,1,1,0,0,0,2,15,1
27,0,Travel_Rarely,1240,Research & Development,2,Master,Life Sciences,2,Female,33,0,Entry Level,Laboratory Technician,3,Divorced,2341,19715,1,No,13,0,Very High,1,1,6,1,1,0,0,0,6,19,2
26,1,Travel_Rarely,1357,Research & Development,25,Bachelor,Life Sciences,3,Male,48,3,Entry Level,Laboratory Technician,2,Single,2293,10558,1,No,12,0,High,0,1,2,2,1,0,0,1,10,14,1
27,0,Travel_Frequently,994,Sales,8,Bachelor,Life Sciences,2,Male,37,0,Mid Level,Sales Executive,2,Single,8726,2975,1,No,15,0,Very High,0,9,0,1,9,8,1,7,5,15,1
30,0,Travel_Frequently,721,Research & Development,1,College,Medical,1,Female,58,0,Junior Level,Laboratory Technician,0,Single,4011,10781,1,No,23,1,Very High,0,12,2,1,12,8,3,7,2,26,1
41,1,Travel_Rarely,1360,Research & Development,12,Bachelor,Technical Degree,0,Female,49,0,Executive Level,Research Director,2,Married,19545,16280,1,No,12,0,Very High,0,23,0,1,22,15,15,8,3,12,0
34,0,Non-Travel,1065,Sales,23,Master,Marketing,0,Male,72,0,Junior Level,Sales Executive,2,Single,4568,10034,0,No,20,1,High,0,10,2,1,9,5,8,7,3,23,1
37,0,Travel_Rarely,408,Research & Development,19,College,Life Sciences,0,Male,73,0,Entry Level,Research Scientist,1,Married,3022,10227,4,No,21,1,Low,0,8,1,1,1,0,0,0,2,23,1
46,0,Travel_Frequently,1211,Sales,5,Master,Marketing,3,Male,98,0,Junior Level,Sales Executive,0,Single,5772,20445,4,Yes,21,1,High,0,14,4,1,9,6,0,8,4,26,2
35,0,Travel_Rarely,1229,Research & Development,8,Below College,Life Sciences,2,Male,36,2,Entry Level,Laboratory Technician,0,Married,2269,4892,1,No,19,0,Very High,0,1,2,1,1,0,0,1,5,21,1
48,1,Travel_Rarely,626,Research & Development,1,College,Life Sciences,3,Male,98,1,Mid Level,Laboratory Technician,2,Single,5381,19294,9,Yes,13,0,Very High,0,23,2,1,1,0,0,0,7,15,2
28,1,Travel_Rarely,1434,Research & Development,5,Master,Technical Degree,1,Male,50,0,Entry Level,Laboratory Technician,2,Single,3441,11179,1,Yes,13,0,High,0,2,3,2,2,2,2,2,5,16,1
44,0,Travel_Rarely,1488,Sales,1,Doctor,Marketing,0,Female,75,0,Junior Level,Sales Executive,3,Divorced,5454,4009,5,Yes,21,1,High,1,9,2,2,4,3,1,3,5,24,1
35,0,Non-Travel,1097,Research & Development,11,College,Medical,1,Male,79,1,Mid Level,Healthcare Representative,3,Married,9884,8302,2,Yes,13,0,High,1,10,3,1,4,0,2,3,6,16,1
26,0,Travel_Rarely,1443,Sales,23,Bachelor,Marketing,1,Female,47,1,Junior Level,Sales Executive,0,Married,4157,21436,7,Yes,19,0,High,1,5,2,2,2,2,0,0,4,21,2
33,0,Travel_Frequently,515,Research & Development,1,College,Life Sciences,3,Female,98,0,Mid Level,Research Director,0,Single,13458,15146,1,Yes,12,0,High,0,15,1,1,15,14,8,12,4,13,0
35,0,Travel_Frequently,853,Sales,18,Doctor,Life Sciences,0,Male,71,0,Mid Level,Sales Executive,3,Married,9069,11031,1,No,22,1,Very High,1,9,3,2,9,8,1,8,5,26,1
35,0,Travel_Rarely,1142,Research & Development,23,Master,Medical,1,Female,30,0,Entry Level,Laboratory Technician,3,Married,4014,16002,3,Yes,15,0,High,1,4,3,1,2,2,2,2,5,18,2
31,0,Travel_Rarely,655,Research & Development,7,Master,Life Sciences,2,Male,48,0,Junior Level,Laboratory Technician,0,Divorced,5915,9528,3,No,22,1,Very High,1,10,3,2,7,7,1,7,4,26,1
37,0,Travel_Rarely,1115,Research & Development,1,Master,Life Sciences,3,Male,51,1,Junior Level,Manufacturing Director,2,Divorced,5993,2689,1,No,18,0,High,1,7,2,3,7,5,0,7,9,20,1
32,0,Travel_Rarely,427,Research & Development,1,Bachelor,Medical,3,Male,33,0,Junior Level,Manufacturing Director,0,Married,6162,10877,1,Yes,22,1,Medium,1,9,3,1,9,8,7,8,4,26,1
38,0,Travel_Frequently,653,Research & Development,29,Doctor,Life Sciences,2,Female,50,0,Junior Level,Laboratory Technician,0,Single,2406,5456,1,No,11,0,Very High,0,10,2,1,10,3,9,9,3,13,1
50,0,Travel_Rarely,989,Research & Development,7,College,Medical,0,Female,43,1,Executive Level,Research Director,2,Divorced,18740,16701,5,Yes,12,0,Very High,1,29,2,2,27,3,13,8,5,14,0
59,0,Travel_Rarely,1435,Sales,25,Bachelor,Life Sciences,3,Female,99,0,Mid Level,Sales Executive,3,Single,7637,2354,7,No,11,0,Very High,0,28,3,2,21,16,7,9,8,14,1
36,0,Travel_Rarely,1223,Research & Development,8,Bachelor,Technical Degree,1,Female,59,0,Mid Level,Healthcare Representative,2,Divorced,10096,8202,1,No,13,0,Medium,3,17,2,1,17,14,12,8,4,15,1
55,0,Travel_Rarely,836,Research & Development,8,Bachelor,Medical,2,Female,33,0,Senior Level,Manager,2,Divorced,14756,19730,2,Yes,14,0,High,3,21,2,1,5,0,0,2,5,16,0
36,0,Travel_Frequently,1195,Research & Development,11,Bachelor,Life Sciences,0,Male,95,1,Junior Level,Manufacturing Director,1,Single,6499,22656,1,No,13,0,High,0,6,3,1,6,5,0,3,3,16,2
45,0,Travel_Rarely,1339,Research & Development,7,Bachelor,Life Sciences,0,Male,59,0,Mid Level,Research Scientist,3,Divorced,9724,18787,2,No,17,0,High,1,25,2,1,1,0,0,0,4,19,2
35,0,Travel_Frequently,664,Research & Development,1,Bachelor,Medical,0,Male,79,0,Entry Level,Research Scientist,3,Married,2194,5868,4,No,13,0,Very High,1,5,2,2,3,2,1,2,5,15,1
36,1,Travel_Rarely,318,Research & Development,9,Bachelor,Medical,2,Male,79,1,Entry Level,Research Scientist,2,Married,3388,21777,0,Yes,17,0,Low,1,2,0,2,1,0,0,0,7,17,2
59,0,Travel_Frequently,1225,Sales,1,Below College,Life Sciences,3,Female,57,1,Junior Level,Sales Executive,2,Single,5473,24668,7,No,11,0,Very High,0,20,2,2,4,3,1,3,8,13,2
29,0,Travel_Rarely,1328,Research & Development,2,Bachelor,Life Sciences,1,Male,76,0,Entry Level,Research Scientist,1,Married,2703,4956,0,No,23,1,Very High,1,6,3,1,5,4,0,4,3,27,1
31,0,Travel_Rarely,1082,Research & Development,1,Master,Medical,1,Male,87,0,Entry Level,Research Scientist,1,Single,2501,18775,1,No,17,0,Medium,0,1,4,1,1,1,1,0,3,21,2
32,0,Travel_Rarely,548,Research & Development,1,Bachelor,Life Sciences,0,Male,66,0,Junior Level,Research Scientist,1,Married,6220,7346,1,No,17,0,Medium,2,10,3,1,10,4,0,9,2,20,1
36,0,Travel_Rarely,132,Research & Development,6,Bachelor,Life Sciences,0,Female,55,2,Entry Level,Laboratory Technician,0,Married,3038,22002,3,No,12,0,Medium,0,5,3,1,1,0,0,0,3,15,2
31,0,Travel_Rarely,746,Research & Development,8,Master,Life Sciences,1,Female,61,0,Junior Level,Manufacturing Director,0,Single,4424,20682,1,No,23,1,Very High,0,11,2,1,11,7,1,8,2,26,2
35,0,Travel_Rarely,776,Sales,1,Master,Marketing,1,Male,32,1,Junior Level,Sales Executive,3,Single,4312,23016,0,No,14,0,Medium,0,16,2,1,15,13,2,8,6,16,2
45,0,Travel_Rarely,193,Research & Development,6,Master,Other,2,Male,52,0,Mid Level,Research Director,3,Married,13245,15067,4,Yes,14,0,Medium,0,17,3,3,0,0,0,0,8,17,0
37,0,Travel_Rarely,397,Research & Development,7,Master,Medical,3,Male,30,0,Mid Level,Research Director,2,Single,13664,25258,4,No,13,0,Low,0,16,3,3,5,2,0,2,8,16,2
46,0,Travel_Rarely,945,Human Resources,5,College,Medical,0,Male,80,0,Junior Level,Human Resources,1,Divorced,5021,10425,8,Yes,22,1,Very High,1,16,2,1,4,2,0,2,2,25,1
30,0,Travel_Rarely,852,Research & Development,1,Below College,Life Sciences,2,Male,55,1,Junior Level,Laboratory Technician,0,Married,5126,15998,1,Yes,12,0,High,2,10,1,2,10,8,3,0,5,13,2
35,0,Travel_Rarely,1214,Research & Development,1,Bachelor,Medical,0,Male,30,1,Entry Level,Research Scientist,2,Single,2859,26278,1,No,18,0,Low,0,6,3,1,6,4,0,4,4,21,2
55,0,Travel_Rarely,111,Sales,1,College,Life Sciences,3,Male,70,0,Mid Level,Sales Executive,0,Married,10239,18092,3,No,14,0,Very High,1,24,4,1,1,0,1,0,4,18,2
38,0,Non-Travel,573,Research & Development,6,Bachelor,Medical,0,Female,79,3,Junior Level,Research Scientist,0,Divorced,5329,15717,7,Yes,12,0,Very High,3,17,3,1,13,11,1,9,4,15,2
34,0,Travel_Rarely,1153,Research & Development,1,College,Medical,3,Male,94,0,Junior Level,Manufacturing Director,1,Married,4325,17736,1,No,15,0,High,0,5,2,1,5,2,1,3,5,17,2
56,0,Travel_Rarely,1400,Research & Development,7,Bachelor,Life Sciences,2,Male,49,3,Mid Level,Manufacturing Director,0,Single,7260,21698,4,No,11,0,Low,0,37,3,2,6,4,0,2,7,14,2
23,0,Travel_Rarely,541,Sales,2,Below College,Technical Degree,1,Male,62,0,Entry Level,Sales Representative,3,Divorced,2322,9518,3,No,13,0,High,1,3,3,1,0,0,0,0,5,16,1
51,0,Travel_Rarely,432,Research & Development,9,Master,Life Sciences,2,Male,96,0,Entry Level,Laboratory Technician,0,Married,2075,18725,3,No,23,1,Medium,2,10,4,1,4,2,0,3,3,28,2
30,0,Travel_Rarely,288,Research & Development,2,Bachelor,Life Sciences,1,Male,99,1,Junior Level,Healthcare Representative,0,Married,4152,15830,1,No,19,0,Low,3,11,3,1,11,10,10,8,3,22,2
46,1,Travel_Rarely,669,Sales,9,College,Medical,1,Male,64,1,Mid Level,Sales Executive,0,Single,9619,13596,1,No,16,0,Very High,0,9,3,1,9,8,4,7,3,19,0
40,0,Travel_Frequently,530,Research & Development,1,Master,Life Sciences,1,Male,78,1,Senior Level,Healthcare Representative,1,Married,13503,14115,1,No,22,1,Very High,1,22,3,2,22,3,11,11,5,26,0
51,0,Travel_Rarely,632,Sales,21,Master,Marketing,1,Male,71,0,Junior Level,Sales Executive,0,Single,5441,8423,0,Yes,22,1,Very High,0,11,2,0,10,7,1,0,1,25,1
30,0,Travel_Rarely,1334,Sales,4,College,Medical,1,Female,63,1,Junior Level,Sales Executive,1,Divorced,5209,19760,1,Yes,12,0,Medium,3,11,4,2,11,8,2,7,5,16,2
46,0,Travel_Frequently,638,Research & Development,1,Bachelor,Medical,1,Male,40,1,Mid Level,Healthcare Representative,3,Married,10673,3142,2,Yes,13,0,High,1,21,5,2,10,9,9,5,7,18,1
32,0,Travel_Rarely,1093,Sales,6,Master,Medical,0,Male,87,0,Junior Level,Sales Executive,2,Single,5010,24301,1,No,16,0,Low,0,12,0,1,11,8,5,7,3,16,2
54,0,Travel_Rarely,1217,Research & Development,2,Master,Technical Degree,3,Female,60,0,Mid Level,Research Director,2,Married,13549,24001,9,No,12,0,Low,1,16,5,0,4,3,0,3,5,17,2
24,0,Travel_Rarely,1353,Sales,3,College,Other,3,Female,33,0,Junior Level,Sales Executive,2,Married,4999,17519,0,No,21,1,Low,1,4,2,2,3,2,0,2,7,24,2
28,0,Non-Travel,120,Sales,4,Bachelor,Medical,0,Male,43,0,Junior Level,Sales Executive,2,Married,4221,8863,1,No,15,0,Medium,0,5,3,3,5,4,0,4,5,18,1
58,0,Travel_Rarely,682,Sales,10,Master,Medical,2,Male,37,0,Senior Level,Sales Executive,2,Single,13872,24409,0,No,13,0,High,0,38,1,2,37,10,1,8,6,14,2
44,0,Non-Travel,489,Research & Development,23,Bachelor,Medical,0,Male,67,0,Junior Level,Laboratory Technician,1,Married,2042,25043,4,No,12,0,High,1,17,3,3,3,2,1,2,4,15,2
37,1,Travel_Rarely,807,Human Resources,6,Master,Human Resources,1,Male,63,0,Entry Level,Human Resources,3,Divorced,2073,23648,4,Yes,22,1,Very High,0,7,3,1,3,2,0,2,5,26,2
32,0,Travel_Rarely,827,Research & Development,1,Below College,Life Sciences,2,Male,71,0,Entry Level,Research Scientist,3,Single,2956,15178,1,No,13,0,Very High,0,1,2,1,1,0,0,0,6,15,2
20,1,Travel_Frequently,871,Research & Development,6,Bachelor,Life Sciences,2,Female,66,1,Entry Level,Laboratory Technician,0,Single,2926,19783,1,Yes,18,0,Medium,0,1,5,1,1,0,1,0,4,23,2
34,0,Travel_Rarely,665,Research & Development,6,Master,Other,3,Female,41,0,Junior Level,Research Scientist,2,Single,4809,12482,1,No,14,0,High,0,16,3,1,16,13,2,10,6,17,1
37,0,Non-Travel,1040,Research & Development,2,College,Life Sciences,1,Male,100,1,Junior Level,Healthcare Representative,0,Divorced,5163,15850,5,No,14,0,Very High,1,17,2,3,1,0,0,0,5,16,2
59,0,Non-Travel,1420,Human Resources,2,Master,Human Resources,1,Female,32,1,Executive Level,Manager,0,Married,18844,21922,9,No,21,1,Very High,1,30,3,1,3,2,2,2,3,25,0
50,0,Travel_Frequently,1115,Research & Development,1,Bachelor,Life Sciences,3,Female,73,0,Executive Level,Research Director,1,Married,18172,9755,3,Yes,19,0,Low,0,28,1,2,8,3,0,7,6,20,0
25,1,Travel_Rarely,240,Sales,5,Bachelor,Marketing,1,Male,46,1,Junior Level,Sales Executive,2,Single,5744,26959,1,Yes,11,0,Very High,0,6,1,1,6,4,0,3,5,12,2
25,0,Travel_Rarely,1280,Research & Development,7,Below College,Medical,2,Male,64,1,Entry Level,Research Scientist,0,Married,2889,26897,1,No,11,0,High,2,2,2,1,2,2,2,1,4,13,2
22,0,Travel_Rarely,534,Research & Development,15,Bachelor,Medical,0,Female,59,0,Entry Level,Laboratory Technician,0,Single,2871,23785,1,No,15,0,High,0,1,5,1,0,0,0,0,1,20,2
51,0,Travel_Frequently,1456,Research & Development,1,Master,Medical,3,Female,30,1,Mid Level,Healthcare Representative,3,Single,7484,25796,3,No,20,1,High,0,23,1,2,13,12,12,8,9,22,2
34,1,Travel_Frequently,658,Research & Development,7,Bachelor,Life Sciences,3,Male,66,3,Junior Level,Laboratory Technician,2,Single,6074,22887,1,Yes,24,1,Very High,0,9,3,1,9,7,0,6,9,28,2
54,0,Non-Travel,142,Human Resources,26,Bachelor,Human Resources,2,Female,30,2,Senior Level,Manager,0,Single,17328,13871,2,Yes,12,0,High,0,23,3,1,5,3,4,4,5,15,0
24,0,Travel_Rarely,1127,Research & Development,18,Below College,Life Sciences,0,Male,52,0,Entry Level,Laboratory Technician,2,Married,2774,13257,0,No,12,0,High,1,6,2,1,5,3,1,2,3,14,1
34,0,Travel_Rarely,1031,Research & Development,6,Master,Life Sciences,1,Female,45,1,Junior Level,Research Scientist,1,Divorced,4505,15000,6,No,15,0,High,1,12,3,1,1,0,0,0,4,18,2
37,0,Travel_Rarely,1189,Sales,3,Bachelor,Life Sciences,1,Male,87,0,Mid Level,Sales Executive,0,Single,7428,14506,2,No,12,0,Low,0,12,3,1,5,3,1,3,2,15,2
34,0,Travel_Rarely,1354,Research & Development,5,Bachelor,Medical,1,Female,45,1,Mid Level,Manager,3,Single,11631,5615,2,No,12,0,Very High,0,14,6,1,11,10,5,8,6,18,1
36,0,Travel_Frequently,1467,Sales,11,College,Technical Degree,0,Female,92,0,Mid Level,Sales Executive,0,Married,9738,22952,0,No,14,0,High,1,10,6,1,9,7,2,8,1,20,2
36,0,Travel_Rarely,922,Research & Development,3,College,Life Sciences,3,Female,39,0,Entry Level,Laboratory Technician,0,Divorced,2835,2561,5,No,22,1,Low,1,7,2,1,1,0,0,0,4,25,1
43,0,Travel_Frequently,394,Sales,26,College,Life Sciences,1,Male,92,0,Senior Level,Manager,0,Married,16959,19494,1,Yes,12,0,Very High,2,25,3,3,25,12,4,12,4,15,0
30,0,Travel_Frequently,1312,Research & Development,23,Bachelor,Life Sciences,3,Male,96,3,Entry Level,Research Scientist,2,Divorced,2613,22310,1,No,25,1,High,3,10,2,2,10,7,0,9,10,28,2
33,0,Non-Travel,750,Sales,22,College,Marketing,1,Male,95,0,Junior Level,Sales Executive,1,Married,6146,15480,0,No,13,0,Low,1,8,2,3,7,7,0,7,5,15,2
56,1,Travel_Rarely,441,Research & Development,14,Master,Life Sciences,0,Female,72,0,Entry Level,Research Scientist,1,Married,4963,4510,9,Yes,18,0,Low,3,7,2,1,5,4,4,3,2,20,1
51,0,Travel_Rarely,684,Research & Development,6,Bachelor,Life Sciences,3,Male,51,0,Executive Level,Research Director,2,Single,19537,6462,7,No,13,0,High,0,23,5,1,20,18,15,15,6,18,0
31,1,Travel_Rarely,249,Sales,6,Master,Life Sciences,0,Male,76,3,Junior Level,Sales Executive,2,Married,6172,20739,4,Yes,18,0,Medium,0,12,3,2,7,7,7,7,7,21,2
26,0,Travel_Rarely,841,Research & Development,6,Bachelor,Other,1,Female,46,1,Entry Level,Research Scientist,1,Married,2368,23300,1,No,19,0,High,0,5,3,2,5,4,4,3,5,22,2
58,1,Travel_Rarely,147,Research & Development,23,Master,Medical,2,Female,94,0,Mid Level,Healthcare Representative,0,Married,10312,3465,1,No,12,0,Very High,1,40,3,2,40,10,15,6,4,15,1
19,1,Travel_Rarely,528,Sales,22,Below College,Marketing,2,Male,50,0,Entry Level,Sales Representative,2,Single,1675,26820,1,Yes,19,0,Very High,0,0,2,2,0,0,0,0,6,21,2
22,0,Travel_Rarely,594,Research & Development,2,Below College,Technical Degree,1,Male,100,0,Entry Level,Laboratory Technician,0,Married,2523,19299,0,No,14,0,High,1,3,2,1,2,1,2,1,2,16,2
49,0,Travel_Rarely,470,Research & Development,20,Master,Medical,1,Female,96,0,Junior Level,Manufacturing Director,3,Married,6567,5549,1,No,14,0,High,0,16,2,2,15,11,5,11,6,16,1
43,0,Travel_Frequently,957,Research & Development,28,Bachelor,Medical,0,Female,72,2,Entry Level,Research Scientist,2,Single,4739,16090,4,No,12,0,Very High,0,18,2,1,3,2,1,2,5,14,2
50,0,Travel_Frequently,809,Sales,12,Bachelor,Marketing,1,Female,77,0,Mid Level,Sales Executive,0,Single,9208,6645,4,No,11,0,Very High,0,16,3,1,2,2,2,1,2,14,1
31,1,Travel_Rarely,542,Sales,20,Bachelor,Life Sciences,0,Female,71,3,Junior Level,Sales Executive,2,Married,4559,24788,3,Yes,11,0,High,1,4,2,1,2,2,2,2,6,13,2
41,0,Travel_Rarely,802,Sales,9,Below College,Life Sciences,1,Male,96,0,Mid Level,Sales Executive,2,Divorced,8189,21196,3,Yes,13,0,High,1,12,2,1,9,7,0,7,4,15,2
